Semana,Museo Nacional del Prado: (Irlanda),Plaza Mayor: (Irlanda),Parque de El Retiro: (Irlanda),Puerta del Sol: (Irlanda),gran via: (Irlanda),Museo Nacional Thyssen-Bornemisza: (Irlanda),Templo de Debod: (Irlanda),Catedral de Santa María la Real de la Almudena: (Irlanda),cibeles: (Irlanda),El Rastro: (Irlanda),Plaza de Toros de Las Ventas: (Irlanda),Chueca: (Irlanda),callao: (Irlanda)
2017-04-16,0,0,32,94,0,0,0,0,0,0,0,0,33
2017-04-23,<1,0,0,0,29,0,0,0,0,0,0,0,32
2017-04-30,<1,0,33,0,31,0,0,0,80,0,0,0,0
2017-05-07,0,0,0,0,30,0,48,0,0,0,0,0,0
2017-05-14,<1,40,0,0,31,0,0,0,81,0,0,0,50
2017-05-21,1,41,0,50,48,0,0,0,0,0,0,51,34
2017-05-28,0,41,34,0,63,0,0,0,81,0,0,0,0
2017-06-04,<1,0,0,48,62,0,0,94,0,0,0,49,34
2017-06-11,0,40,33,49,47,0,0,0,0,0,0,49,34
2017-06-18,1,0,34,0,32,0,0,0,0,0,91,0,34
2017-06-25,0,0,0,0,52,0,0,0,82,90,0,50,0
2017-07-02,1,0,0,50,48,0,0,97,0,0,0,100,0
2017-07-09,0,41,34,0,63,0,0,0,0,0,0,0,0
2017-07-16,1,0,0,50,32,0,0,0,0,0,0,0,0
2017-07-23,1,0,0,0,32,0,0,0,0,0,89,0,34
2017-07-30,0,0,0,0,30,56,0,0,0,0,0,0,0
2017-08-06,0,80,0,49,62,0,0,93,0,0,0,49,0
2017-08-13,<1,0,32,0,30,0,0,0,0,0,0,0,33
2017-08-20,<1,38,0,0,30,55,0,0,76,0,0,47,0
2017-08-27,0,0,49,47,30,0,0,0,79,0,0,0,0
2017-09-03,<1,0,0,0,60,56,0,0,0,86,0,0,0
2017-09-10,1,38,32,46,29,0,0,90,0,0,0,0,0
2017-09-17,1,51,32,46,30,0,48,0,77,0,0,0,32
2017-09-24,1,37,0,0,58,54,0,0,0,0,0,0,0
2017-10-01,<1,0,30,45,29,0,0,0,0,83,0,0,31
2017-10-08,1,0,31,0,0,0,0,0,74,0,0,0,0
2017-10-15,0,35,29,42,27,100,43,0,0,77,0,43,0
2017-10-22,<1,37,0,0,29,0,0,0,75,82,0,0,0
