Semana,Museo Nacional del Prado: (Francia),plaza mayor: (Francia),Parque de El Retiro: (Francia),puerta del sol: (Francia),gran via: (Francia),Museo Nacional Thyssen-Bornemisza: (Francia),templo de debod: (Francia),Catedral de Santa María la Real de la Almudena: (Francia),Plaza de Cibeles: (Francia),Palacio de Cristal: (Francia),Puerta de Alcalá: (Francia),El Rastro: (Francia),Plaza de Toros de Las Ventas: (Francia),Chueca: (Francia),san gines: (Francia),callao: (Francia),Calle de Serrano: (Francia)
2016-12-11,4,51,23,40,48,24,37,23,67,30,0,41,29,0,0,21,37
2016-12-18,100,40,48,11,38,25,0,0,35,32,0,0,20,24,37,59,40
2016-12-25,4,50,50,74,52,26,0,25,37,100,45,45,21,25,39,80,41
2017-01-01,4,45,33,40,35,35,36,23,0,0,27,0,29,57,0,64,0
2017-01-08,6,52,21,28,67,44,0,22,47,42,0,39,0,43,0,38,36
2017-01-15,5,54,43,23,63,34,35,22,43,0,52,0,37,22,0,46,0
2017-01-22,5,57,43,51,34,22,35,22,47,0,0,0,37,29,50,71,35
2017-01-29,3,47,28,30,39,44,0,22,31,28,25,58,24,43,0,40,0
2017-02-05,6,34,65,39,35,23,70,100,32,29,26,40,46,22,0,46,36
2017-02-12,6,30,44,31,35,46,0,22,33,29,26,41,19,34,0,21,73
2017-02-19,8,49,55,31,47,54,0,30,32,59,52,0,25,22,69,31,0
2017-02-26,6,42,35,29,55,22,0,21,31,83,37,0,30,42,0,29,34
2017-03-05,9,42,42,25,55,44,0,21,31,41,25,76,30,42,33,54,35
2017-03-12,7,38,85,25,56,45,69,33,31,28,25,39,45,22,0,25,35
2017-03-19,5,28,42,25,73,0,35,22,47,28,25,0,60,65,0,50,35
2017-03-26,6,69,66,63,52,69,35,56,49,44,79,80,38,37,34,36,0
2017-04-02,7,25,37,21,89,39,36,68,0,29,53,40,51,45,35,32,0
2017-04-09,10,56,68,38,84,36,37,23,34,30,27,42,48,23,35,24,37
2017-04-16,7,61,23,16,42,24,0,23,34,60,27,0,39,45,36,59,0
2017-04-23,5,29,56,23,78,22,34,33,31,0,0,39,42,43,67,25,35
2017-04-30,6,62,42,20,22,44,69,22,78,56,38,77,30,21,33,30,0
2017-05-07,8,33,53,30,28,45,35,43,31,56,0,39,61,0,100,20,0
2017-05-14,8,35,37,19,53,35,36,69,33,30,0,41,45,23,35,16,37
2017-05-21,5,44,33,26,58,51,40,25,72,33,0,67,56,33,38,35,41
2017-05-28,7,45,30,19,47,35,0,31,66,29,54,41,83,34,0,53,56
2017-06-04,4,46,30,37,59,0,0,0,100,0,27,0,64,23,0,24,50
2017-06-11,3,40,22,19,30,24,0,31,66,40,27,0,51,23,35,53,0
2017-06-18,4,15,0,12,29,31,0,23,65,0,26,61,64,67,35,21,37
2017-06-25,4,35,44,26,41,35,0,23,65,30,27,40,28,45,0,39,0
2017-07-02,3,47,23,11,18,24,0,31,57,31,0,42,39,54,36,49,38
2017-07-09,5,24,32,39,44,33,0,73,0,0,0,43,48,24,75,25,39
2017-07-16,4,26,23,42,74,25,0,24,35,31,0,43,30,24,0,50,0
2017-07-23,5,36,0,44,62,24,0,23,67,30,0,85,26,0,36,38,38
2017-07-30,4,37,23,30,49,49,0,24,0,0,28,0,40,36,37,50,58
2017-08-06,5,58,36,48,63,37,38,49,35,31,28,43,30,48,37,17,39
2017-08-13,6,33,25,21,59,39,60,25,73,49,30,45,28,25,0,17,41
2017-08-20,2,26,46,19,55,0,0,36,68,31,28,63,20,24,0,25,39
2017-08-27,3,22,21,13,34,46,0,44,32,29,26,39,31,0,0,26,36
2017-09-03,3,38,0,25,40,45,0,22,32,57,26,39,55,33,34,46,35
2017-09-10,6,33,21,25,22,22,0,22,63,28,25,39,48,32,33,23,52
2017-09-17,5,39,22,21,52,23,0,22,32,29,0,80,19,22,34,56,0
2017-09-24,3,28,21,23,56,22,34,22,31,28,25,39,36,32,33,35,35
2017-10-01,5,42,42,17,22,77,0,0,0,28,25,0,27,21,0,52,35
2017-10-08,7,19,42,19,51,22,35,32,62,28,0,0,27,43,0,55,35
2017-10-15,4,38,43,43,62,34,35,0,31,57,0,0,24,0,33,15,0
2017-10-22,6,24,21,30,56,56,0,22,32,56,25,0,18,22,0,25,35
2017-10-29,4,33,21,28,56,55,34,54,31,0,0,39,27,22,67,45,0
2017-11-05,4,64,82,22,49,21,50,31,61,0,33,37,35,21,0,36,0
2017-11-12,6,48,28,20,66,22,34,42,61,27,50,38,36,52,32,37,34
2017-11-19,7,46,34,24,43,32,33,31,60,27,0,0,23,21,0,34,34
2017-11-26,4,27,51,27,54,43,0,0,45,27,24,37,26,21,48,24,0
2017-12-03,6,32,41,27,49,32,66,42,30,27,24,37,17,21,64,15,0
2017-12-10,4,32,0,14,27,35,0,34,59,0,24,73,52,27,0,53,0
2017-12-17,4,58,65,18,40,23,35,45,64,29,26,40,0,22,51,26,36
2017-12-24,5,37,31,22,56,33,38,24,0,31,0,0,20,0,37,66,39
2017-12-31,4,22,21,56,34,45,0,22,32,29,0,0,49,65,34,31,0
2018-01-07,5,34,40,43,69,35,0,20,0,27,24,37,26,20,32,19,33
2018-01-14,5,31,40,24,53,31,33,0,29,26,24,0,34,0,31,28,0
2018-01-21,5,40,40,28,100,49,0,27,59,27,0,37,17,100,31,43,33
2018-01-28,5,41,61,29,53,43,33,62,70,27,24,37,35,0,32,48,0
2018-02-04,4,36,20,47,26,21,0,20,29,0,24,36,0,0,31,24,33
2018-02-11,8,55,47,41,38,42,33,31,0,27,49,37,35,41,32,24,33
2018-02-18,5,63,35,42,77,54,51,32,46,27,38,75,42,43,33,59,51
2018-02-25,8,64,20,29,43,43,33,42,0,27,0,37,29,21,48,34,0
2018-03-04,7,59,61,19,43,43,33,28,0,0,25,37,64,42,32,43,33
2018-03-11,6,64,41,22,54,21,33,42,30,27,24,37,29,21,32,34,34
2018-03-18,8,55,41,27,54,29,0,35,91,27,25,37,52,31,32,34,0
2018-03-25,11,55,48,20,38,43,67,28,41,27,25,38,35,31,32,39,34
2018-04-01,9,47,70,40,22,77,34,32,31,28,100,38,63,0,33,37,35
2018-04-08,5,64,61,39,65,43,0,52,45,27,24,37,61,31,32,24,51
2018-04-15,8,35,44,26,76,39,0,34,33,30,0,41,57,0,35,47,0
2018-04-22,5,47,56,43,28,44,0,50,31,28,25,39,36,32,49,20,35
2018-04-29,5,66,49,58,33,44,34,43,31,28,50,58,78,43,0,30,35
2018-05-06,6,39,50,20,40,53,52,0,48,29,26,59,55,33,51,15,36
2018-05-13,7,78,61,27,70,64,33,21,91,27,25,38,82,21,48,15,34
2018-05-20,8,78,91,32,28,44,0,22,41,28,50,38,78,21,0,20,70
2018-05-27,6,54,27,31,80,32,33,21,100,0,49,0,81,31,32,29,0
2018-06-03,4,32,41,15,38,21,0,42,30,27,0,37,29,21,0,22,67
2018-06-10,3,39,0,23,52,20,0,20,29,26,47,53,17,30,31,32,48
2018-06-17,3,28,31,15,43,29,0,0,45,27,25,0,18,21,32,39,34
2018-06-24,5,28,31,27,39,54,0,42,31,27,0,0,30,28,49,22,0
2018-07-01,6,31,27,26,32,42,0,0,30,26,0,36,17,27,0,14,33
2018-07-08,4,19,31,12,50,33,0,21,47,42,25,0,36,43,0,30,0
2018-07-15,3,45,44,37,35,39,36,23,0,29,26,0,19,0,35,68,36
2018-07-22,6,30,22,29,41,46,0,23,49,29,26,0,19,56,35,37,37
2018-07-29,5,37,22,42,59,31,36,23,44,30,0,54,38,56,35,32,0
2018-08-05,5,30,45,40,59,31,36,38,33,30,0,82,29,46,35,32,37
2018-08-12,4,36,46,46,79,97,0,31,34,30,0,85,30,47,36,16,0
2018-08-19,3,38,22,24,41,71,0,23,33,59,0,41,29,45,70,26,37
2018-08-26,4,43,21,18,50,68,52,0,47,0,50,39,27,32,66,25,36
2018-09-02,4,21,42,28,73,44,0,22,52,28,0,39,27,21,0,15,69
2018-09-09,6,33,31,15,33,29,34,32,31,27,0,38,36,32,0,22,35
2018-09-16,7,19,41,27,22,33,34,21,31,28,25,38,35,21,65,34,34
2018-09-23,6,14,21,32,55,22,34,0,31,0,50,76,36,43,0,35,0
2018-09-30,5,49,21,18,27,36,0,64,0,55,25,38,45,21,33,34,51
2018-10-07,8,51,28,12,38,22,33,50,31,28,25,75,36,32,0,49,35
2018-10-14,8,28,21,20,44,33,34,43,62,28,25,38,18,42,33,30,35
2018-10-21,6,23,28,10,28,22,34,29,31,55,25,38,18,21,0,50,35
2018-10-28,6,52,31,17,67,33,34,64,0,69,0,38,36,21,49,40,0
2018-11-04,4,61,20,36,27,42,0,52,30,27,24,37,35,20,32,43,50
2018-11-11,5,32,40,17,16,32,0,62,30,0,24,37,17,21,0,57,34
2018-11-18,6,31,40,17,37,21,0,41,44,0,48,37,17,0,0,38,0
2018-11-25,6,27,20,14,32,42,0,21,30,27,24,0,26,0,32,38,33
2018-12-02,6,37,41,11,60,32,49,28,61,27,25,37,18,62,32,34,34
2018-12-09,5,32,55,29,38,29,0,35,61,0,25,38,18,21,33,29,34
2018-12-16,6,24,35,25,73,37,34,43,63,42,38,0,0,21,0,70,0
2018-12-23,4,40,47,8,57,50,39,61,0,31,0,0,30,0,74,23,0
2018-12-30,8,45,37,53,47,23,0,68,0,0,27,0,38,0,35,26,37
2019-01-06,5,41,30,31,32,22,100,21,75,27,0,37,17,21,0,29,33
2019-01-13,4,36,30,33,27,21,49,21,30,27,0,86,17,31,0,29,33
2019-01-20,7,35,20,21,47,28,0,20,29,26,0,36,34,40,31,63,0
2019-01-27,7,46,52,37,62,31,0,27,0,26,23,0,17,20,31,60,32
2019-02-03,4,49,53,7,47,31,32,27,0,26,0,36,0,40,0,23,49
2019-02-10,8,49,62,29,27,36,34,85,31,27,0,0,35,84,32,59,34
2019-02-17,9,38,49,43,56,37,34,43,62,28,25,77,30,42,33,23,35
2019-02-24,5,41,0,29,22,43,0,42,61,27,25,37,18,21,54,34,0
2019-03-03,7,49,27,31,37,42,0,20,0,0,24,55,34,27,0,24,0
2019-03-10,9,68,60,26,48,21,50,28,60,27,48,36,17,21,32,34,33
2019-03-17,9,61,62,22,77,44,0,32,31,0,0,76,54,35,33,30,35
2019-03-24,8,23,62,44,50,44,34,42,31,28,25,38,36,32,33,34,34
2019-03-31,8,69,34,46,49,57,83,42,40,27,24,75,29,31,0,39,34
2019-04-07,8,74,52,24,49,22,34,21,61,0,37,75,53,21,32,98,0
2019-04-14,6,24,56,27,72,22,0,65,31,0,0,77,60,32,33,55,0
2019-04-21,8,28,41,32,60,22,0,56,76,28,0,38,47,49,0,74,0
2019-04-28,9,100,34,17,48,28,33,35,0,54,24,37,46,27,63,62,34
2019-05-05,9,90,40,19,64,42,32,31,39,27,0,36,23,51,63,57,0
2019-05-12,3,54,47,24,48,32,0,34,60,40,48,37,40,31,48,38,34
2019-05-19,6,54,40,26,37,31,32,21,39,27,24,36,68,50,31,50,0
2019-05-26,4,55,61,39,49,50,33,21,76,27,24,0,52,21,0,34,34
2019-06-02,6,59,37,25,40,0,0,19,65,25,23,0,49,39,44,36,0
2019-06-09,6,66,39,31,31,72,0,0,29,52,23,36,33,20,31,21,0
2019-06-16,4,41,20,19,21,32,33,21,45,27,36,0,52,42,0,43,100
2019-06-23,5,32,40,19,37,21,0,21,89,27,24,37,43,20,63,50,0
2019-06-30,3,31,20,21,63,21,0,20,30,26,24,55,34,20,31,14,0
2019-07-07,3,34,20,14,53,21,0,0,39,26,0,54,17,30,63,24,33
2019-07-14,3,55,28,39,66,33,0,21,30,0,25,0,53,0,65,73,51
2019-07-21,4,43,32,45,62,22,34,33,78,28,25,39,36,22,0,75,35
2019-07-28,5,44,43,54,40,30,70,22,63,0,26,0,19,33,0,31,36
2019-08-04,5,44,43,46,69,34,35,0,32,29,0,79,28,66,0,21,36
2019-08-11,4,34,21,33,75,23,35,22,48,38,26,0,43,33,68,36,36
2019-08-18,4,93,0,33,74,45,0,0,32,42,51,39,46,22,50,46,35
2019-08-25,3,27,33,10,48,32,0,21,0,0,0,37,17,31,63,48,0
2019-09-01,3,46,19,21,51,41,0,30,57,26,23,0,28,59,0,32,0
