,Semana,bellver: (Francia),cuevas del drach: (Francia),formentor: (Francia),palma aquarium: (Francia),soller: (Francia),cala galdana: (Francia),cala mitjana: (Francia),cala macarella: (Francia),cala macarelleta: (Francia),albufera: (Francia),cala pregonda: (Francia),favaritx: (Francia),benirras: (Francia),es vedra: (Francia),ses salines: (Francia),cala salada: (Francia),ses illetes: (Francia),es pujols: (Francia),babaria: (Francia),magaluf: (Francia)
180,2019-01-13,30,32,17,0,22,23,0,0,0,84,44,0,38,30,28,0,0,0,0,13
181,2019-01-20,12,0,22,0,19,34,0,0,0,75,0,0,0,29,0,26,0,40,0,10
182,2019-01-27,25,0,19,0,37,0,0,0,0,41,0,0,0,29,27,0,33,0,26,14
183,2019-02-03,49,31,16,0,21,23,0,0,0,29,0,0,0,29,28,0,0,0,27,8
184,2019-02-10,17,33,17,60,30,32,31,0,0,35,0,0,0,0,0,0,35,84,0,18
185,2019-02-17,18,33,41,0,38,24,0,0,0,63,0,0,0,31,30,0,0,0,29,13
186,2019-02-24,13,0,23,40,35,24,0,30,0,39,0,0,0,31,29,0,0,42,28,19
187,2019-03-03,21,0,33,38,31,0,30,0,0,38,0,0,0,30,0,0,34,0,0,12
188,2019-03-10,30,0,33,39,17,58,0,0,0,60,0,44,0,0,28,0,34,0,27,13
189,2019-03-17,31,33,20,80,50,48,31,30,44,53,0,0,0,31,29,29,35,43,0,18
190,2019-03-24,62,0,31,0,55,24,0,30,0,46,0,0,0,0,29,0,0,0,0,22
191,2019-03-31,22,32,17,40,64,35,0,0,43,69,0,0,0,30,0,0,34,0,56,18
192,2019-04-07,26,0,25,40,45,47,0,0,0,43,0,0,0,30,0,28,0,0,0,32
193,2019-04-14,53,33,26,41,53,32,0,0,0,58,0,0,0,31,29,0,0,43,0,33
194,2019-04-21,26,33,30,40,55,24,31,0,0,61,0,0,40,0,29,83,0,0,28,26
195,2019-04-28,26,32,29,38,63,23,60,29,0,34,0,0,0,0,28,27,0,41,0,49
196,2019-05-05,29,31,33,38,84,34,30,29,0,54,0,0,38,0,28,27,33,0,0,30
197,2019-05-12,26,0,55,58,51,23,30,0,0,38,0,0,57,60,28,0,0,41,0,39
198,2019-05-19,25,32,24,38,55,46,29,0,0,55,43,0,38,30,0,54,34,0,27,31
199,2019-05-26,38,0,44,39,76,35,0,0,0,34,44,45,0,30,0,0,34,41,0,42
200,2019-06-02,16,0,29,36,52,43,0,27,80,56,0,0,36,42,26,26,0,39,0,44
201,2019-06-09,43,31,27,37,35,22,0,28,41,53,0,0,37,0,27,26,33,39,27,38
202,2019-06-16,17,0,25,0,51,46,0,58,0,34,0,0,39,30,0,27,0,41,42,40
203,2019-06-23,44,0,28,39,44,31,40,87,42,25,44,0,38,60,0,27,51,41,28,44
204,2019-06-30,17,0,33,39,43,34,30,29,42,38,44,0,38,44,28,27,0,0,27,37
205,2019-07-07,25,0,33,0,48,23,59,29,0,57,43,0,57,0,37,27,34,41,41,45
206,2019-07-14,13,0,40,40,60,36,77,30,0,40,0,0,40,31,29,56,36,0,57,45
207,2019-07-21,20,0,23,40,56,24,31,0,44,45,93,0,0,31,59,29,36,43,100,78
208,2019-07-28,14,0,36,63,65,33,64,31,45,69,95,0,41,32,0,44,49,0,0,89
209,2019-08-04,21,34,48,84,68,100,32,47,0,69,0,0,41,43,41,29,37,0,30,100
210,2019-08-11,18,0,65,69,83,0,42,0,45,100,47,0,82,53,30,44,74,44,29,77
211,2019-08-18,27,68,35,41,59,41,47,31,0,20,93,0,67,47,59,38,54,43,39,58
212,2019-08-25,30,32,52,39,53,69,59,29,0,42,44,44,57,45,28,0,34,41,41,45
213,2019-09-01,62,0,21,37,68,22,57,28,62,21,42,0,37,29,41,0,0,0,53,43
214,2019-09-08,45,31,37,37,49,22,0,0,0,49,42,0,37,58,27,0,33,39,0,33
215,2019-09-15,37,0,32,0,56,33,28,28,0,33,0,0,55,29,0,26,0,39,26,31
216,2019-09-22,30,0,43,36,43,32,28,27,40,36,40,0,35,28,26,25,32,0,0,22
217,2019-09-29,35,0,28,71,47,21,0,26,0,39,61,0,35,27,0,0,31,0,25,19
218,2019-10-06,36,0,16,36,50,22,0,27,0,40,0,42,0,28,53,0,0,38,26,6
219,2019-10-13,36,30,21,36,41,22,0,0,0,64,0,0,36,28,52,0,32,38,26,21
220,2019-10-20,36,30,26,36,39,0,0,27,0,24,41,0,72,0,0,0,0,38,26,7
221,2019-10-27,29,0,64,0,38,21,0,27,0,24,0,0,0,0,0,25,0,37,25,8
222,2019-11-03,19,0,15,36,24,21,0,0,39,15,0,0,0,27,26,0,0,37,25,3
223,2019-11-10,18,0,18,36,16,21,0,0,0,47,0,0,0,0,0,0,32,0,25,5
224,2019-11-17,39,0,23,35,13,21,0,0,0,46,0,0,0,0,0,25,0,0,0,5
225,2019-11-24,26,0,22,34,15,20,27,0,0,26,0,0,0,53,0,0,30,36,24,12
226,2019-12-01,34,28,15,0,13,0,0,0,38,40,0,0,0,27,0,24,0,0,0,8
227,2019-12-08,27,28,22,0,28,21,0,0,0,38,0,0,0,0,0,0,0,0,0,8
228,2019-12-15,50,0,15,36,10,21,27,0,0,27,0,0,0,54,26,0,0,37,0,9
229,2019-12-22,13,32,8,0,17,24,0,0,0,56,0,0,0,0,0,0,0,0,0,5
230,2019-12-29,16,0,29,37,31,0,0,28,41,25,0,0,0,0,27,0,0,40,0,11
231,2020-01-05,30,0,12,0,15,0,0,25,0,49,0,0,0,26,25,0,0,36,0,10
232,2020-01-12,26,0,17,0,17,40,51,0,37,30,0,0,0,26,24,24,0,0,24,14
233,2020-01-19,15,0,20,0,43,31,0,0,0,38,0,0,34,0,0,0,0,0,0,19
234,2020-01-26,50,0,14,0,55,20,0,25,37,37,0,39,0,26,25,0,30,0,24,18
235,2020-02-02,97,0,15,0,35,41,0,25,0,30,39,0,0,0,25,24,0,0,24,16
236,2020-02-09,41,0,19,34,40,20,26,26,0,26,0,0,0,0,0,0,0,0,24,17
237,2020-02-16,34,0,24,0,45,20,27,0,0,45,0,0,0,0,25,0,30,0,0,10
238,2020-02-23,54,0,21,0,29,29,0,0,36,29,0,0,33,25,0,0,0,0,23,16
239,2020-03-01,38,27,100,0,25,0,25,0,0,29,0,0,0,25,0,0,29,0,23,18
240,2020-03-08,14,0,97,0,24,0,0,0,0,25,0,0,0,0,47,0,29,0,0,13
241,2020-03-15,34,0,23,0,12,18,24,0,0,10,0,0,31,0,0,0,0,0,0,3
242,2020-03-22,50,0,16,0,20,18,0,0,0,20,0,0,0,0,22,0,0,0,22,7
243,2020-03-29,20,0,19,0,21,36,0,0,0,10,0,35,0,0,0,0,0,32,0,8
244,2020-04-05,53,0,23,0,14,18,0,0,0,10,0,0,0,0,0,0,0,0,43,6
245,2020-04-12,58,0,18,0,12,0,0,0,0,17,0,0,0,24,0,0,0,0,22,2
246,2020-04-19,47,0,19,0,19,18,0,0,0,27,34,0,30,23,22,22,27,0,43,2
247,2020-04-26,41,0,25,0,20,0,0,0,0,13,0,0,0,22,0,0,0,0,20,4
248,2020-05-03,32,24,25,29,13,17,0,0,0,19,33,0,0,45,21,0,26,30,41,8
249,2020-05-10,30,0,33,0,21,0,0,0,0,0,0,0,0,0,22,0,0,0,21,8
250,2020-05-17,36,0,44,0,23,39,0,0,0,11,0,0,0,0,24,0,0,0,23,2
251,2020-05-24,66,0,43,0,14,0,24,0,0,31,0,0,31,0,0,0,0,0,0,7
252,2020-05-31,30,25,36,0,24,18,0,0,0,26,0,0,0,0,0,0,0,0,32,12
253,2020-06-07,60,0,54,0,25,18,0,0,33,30,0,0,0,23,22,22,0,0,21,14
254,2020-06-14,42,0,84,0,22,38,0,0,35,35,0,0,31,0,0,0,28,33,45,14
255,2020-06-21,55,28,74,33,19,20,25,0,0,18,0,0,0,38,0,47,30,53,24,13
256,2020-06-28,16,0,39,0,20,19,0,24,0,32,0,0,31,98,23,0,28,0,30,17
257,2020-07-05,22,0,39,0,34,20,26,25,0,37,0,0,0,26,49,0,0,0,48,17
258,2020-07-12,18,30,48,36,31,21,0,27,40,24,0,0,36,55,26,0,31,0,51,29
