bellver;cuevas del drach;formentor;palma aquarium;soller;cala galdana;cala mitjana;monte toro;cala macarella;cala macarelleta;albufera;cala pregonda;favaritx;cala benirras;es vedra;ses salines;cala salada;ses illetes;es pujols;ses platgetes;magaluf;date;country;Cuevas del Drach;benirras;tourists;overall_trend
49;30;41;31;63;39;0;43;31;30;54;46;;0;18;30;25;0;43;;34;01/03/2018;unitedkingdom;;;65985;63
49;60;43;92;85;48;61;41;31;30;69;45;;35;28;31;39;25;85;;64;01/04/2018;unitedkingdom;;;209923;92
0;30;65;63;70;74;40;43;31;30;71;0;;37;19;35;39;25;85;;60;01/05/2018;unitedkingdom;;;464664;85
0;60;66;61;91;71;57;43;30;31;57;44;;37;64;29;26;25;60;;71;01/06/2018;unitedkingdom;;;624543;91
0;31;80;61;91;89;30;86;76;60;65;45;;0;46;34;77;25;65;;90;01/07/2018;unitedkingdom;;;686093;91
52;31;64;63;83;59;31;43;61;0;53;47;;37;28;21;51;26;44;;48;01/08/2018;unitedkingdom;;;678252;83
51;30;48;47;75;44;46;44;47;30;38;46;;37;38;53;26;38;43;;47;01/09/2018;unitedkingdom;;;539125;75
51;31;36;63;47;26;61;0;31;0;38;0;;0;0;14;26;100;43;;27;01/10/2018;unitedkingdom;;;329412;63
0;0;24;30;36;19;30;0;0;0;23;0;;0;71;13;0;24;41;;13;01/11/2018;unitedkingdom;;;31300;71
52;35;49;36;27;38;31;44;36;32;39;0;;0;22;18;0;0;0;;22;01/12/2018;unitedkingdom;;;21700;39
48;29;52;45;49;36;29;0;29;29;56;0;;0;18;17;24;24;41;;44;01/01/2019;unitedkingdom;;;19050;56
0;0;43;31;43;29;59;42;29;29;49;44;;0;27;26;0;24;42;;25;01/02/2019;unitedkingdom;;;21641;49
48;59;55;62;57;33;30;0;61;30;57;0;;36;28;100;26;25;43;;36;01/03/2019;unitedkingdom;;;42834;100
49;31;47;82;87;55;29;45;60;62;61;0;;35;19;26;37;25;42;;49;01/04/2019;unitedkingdom;;;220957;87
48;30;82;62;84;71;30;42;31;29;60;0;;35;36;34;26;49;61;;58;01/05/2019;unitedkingdom;;;529542;84
49;58;74;57;98;65;56;42;40;44;53;66;;100;52;27;83;24;62;;71;01/06/2019;unitedkingdom;;;616992;100
0;60;100;62;83;78;44;42;31;58;61;44;;35;37;31;26;64;41;;63;01/07/2019;unitedkingdom;;;663441;83
48;30;73;75;89;66;45;41;30;29;48;44;;35;18;30;49;50;41;;43;01/08/2019;unitedkingdom;;;647471;89
47;28;53;58;72;53;56;41;44;28;69;41;;66;33;19;36;47;80;;51;01/09/2019;unitedkingdom;;;605734;80
45;27;32;55;50;27;27;0;27;27;48;0;;32;17;15;23;44;76;;25;01/10/2019;unitedkingdom;;;341040;76
0;0;15;27;25;11;53;0;27;0;32;0;;0;24;15;32;0;37;;12;01/11/2019;unitedkingdom;;;15393;37
51;30;36;31;36;41;31;0;31;26;45;46;;0;0;15;24;23;43;;23;01/12/2019;unitedkingdom;;;15470;45
42;26;44;40;49;47;25;36;26;25;61;0;;90;63;10;32;0;72;;47;01/01/2020;unitedkingdom;;;8041;90
0;0;33;40;41;28;25;35;25;0;58;36;;0;15;29;21;21;36;;28;01/02/2020;unitedkingdom;;;19231;58
41;24;95;50;23;27;24;0;25;0;30;0;;0;30;21;31;30;70;;21;01/03/2020;unitedkingdom;;;13357;70
0;0;28;24;19;15;23;0;24;0;29;0;;0;14;24;39;19;64;;12;01/04/2020;unitedkingdom;;;0;64
0;45;41;25;29;15;24;0;25;24;31;73;;27;22;19;29;0;47;;16;01/05/2020;unitedkingdom;;;0;47
30;31;18;59;40;15;32;;41;61;60;0;;0;59;25;0;31;24;;6;01/10/2015;germany;;;429045;60
30;31;9;39;34;15;32;;40;0;64;0;;0;29;24;30;31;36;;3;01/11/2015;germany;;;79886;64
37;0;14;34;29;25;37;;0;75;51;0;;0;69;24;31;0;59;;6;01/12/2015;germany;;;43510;69
28;38;11;36;41;27;30;;0;57;63;84;;46;54;34;28;57;22;;6;01/01/2016;germany;;;55191;63
29;29;9;54;50;41;30;;75;58;70;0;;46;41;27;28;71;33;;100;01/02/2016;germany;;;91200;100
57;0;19;39;49;42;30;;38;61;87;0;;0;29;28;0;60;24;;8;01/03/2016;germany;;;210991;87
79;30;21;38;55;28;91;;39;59;61;86;;49;29;28;55;30;54;;78;01/04/2016;germany;;;304323;78
100;61;22;31;47;54;94;;61;62;72;0;;47;39;35;56;33;59;;36;01/05/2016;germany;;;613574;72
58;30;13;38;51;28;69;;77;60;62;88;;49;41;35;57;56;47;;14;01/06/2016;germany;;;648525;77
64;33;26;62;52;34;34;;42;61;79;0;;100;95;48;42;63;100;;25;01/07/2016;germany;;;694927;100
34;66;26;66;46;48;54;;45;69;69;0;;58;66;65;100;70;37;;29;01/08/2016;germany;;;683755;100
32;32;15;61;46;45;33;;42;63;82;95;;53;45;60;61;64;75;;10;01/09/2016;germany;;;637899;82
32;32;18;59;46;19;100;;41;0;69;0;;50;29;26;31;61;36;;6;01/10/2016;germany;;;553126;69
30;0;6;19;31;28;31;;0;0;42;0;;0;43;24;0;30;23;;5;01/11/2016;germany;;;78277;43
31;29;7;37;29;26;0;;0;67;44;0;;0;32;38;32;58;46;;5;01/12/2016;germany;;;43952;46
29;28;11;28;37;22;29;;36;56;62;85;;0;37;34;28;56;53;;9;01/01/2017;germany;;;49356;62
55;38;12;36;49;26;0;;37;56;62;0;;45;27;28;0;56;22;;8;01/02/2017;germany;;;93995;62
29;30;11;47;48;18;31;;37;0;52;0;;46;40;34;29;0;34;;9;01/03/2017;germany;;;179432;52
59;30;26;28;60;41;0;;56;58;87;0;;48;71;41;29;43;69;;17;01/04/2017;germany;;;455105;87
32;28;21;44;46;32;44;;39;59;92;95;;48;57;38;31;30;46;;13;01/05/2017;germany;;;595890;92
29;30;30;79;46;27;46;;59;60;100;90;;46;85;100;0;57;44;;43;01/06/2017;germany;;;756909;100
44;57;23;67;49;28;61;;77;58;66;87;;48;55;57;57;57;44;;25;01/07/2017;germany;;;703657;77
43;59;29;91;45;22;45;;0;58;69;88;;48;42;59;28;49;34;;25;01/08/2017;germany;;;669998;91
28;41;17;43;53;39;43;;75;55;54;0;;46;36;37;27;56;43;;11;01/09/2017;germany;;;667850;75
27;28;16;35;55;25;57;;35;0;81;83;;44;26;47;27;27;62;;7;01/10/2017;germany;;;515589;81
26;52;7;33;32;12;28;;34;0;41;79;;43;26;18;0;27;21;;3;01/11/2017;germany;;;91861;43
28;31;14;54;39;26;32;;72;62;39;0;;0;26;33;27;0;43;;5;01/12/2017;germany;;;49042;72
0;25;12;24;46;39;26;;33;100;60;0;;0;48;31;0;51;30;;4;01/01/2018;germany;;;58389;60
26;26;11;65;35;16;0;;34;52;51;0;;42;25;31;0;38;20;;11;01/02/2018;germany;;;80225;65
27;39;22;43;100;26;29;;34;52;63;0;;0;49;38;38;39;33;;20;01/03/2018;germany;;;221780;100
27;84;20;52;52;29;28;;36;56;53;82;;88;78;60;51;53;21;;9;01/04/2018;germany;;;396055;88
38;78;19;85;52;26;54;;53;55;46;80;;67;66;48;51;27;21;;23;01/05/2018;germany;;;611396;85
25;26;22;33;40;25;44;;0;52;67;79;;0;61;56;93;26;40;;17;01/06/2018;germany;;;629360;93
27;82;29;49;46;36;56;;53;54;98;0;;44;69;43;50;40;42;;29;01/07/2018;germany;;;635472;98
53;67;29;62;50;21;56;;35;53;56;81;;86;52;48;26;40;31;;21;01/08/2018;germany;;;630224;86
0;53;35;100;49;25;55;;35;0;58;0;;43;34;42;26;26;34;;17;01/09/2018;germany;;;677642;100
26;44;11;61;52;24;55;;34;53;34;0;;43;25;27;25;26;30;;11;01/10/2018;germany;;;527801;61
25;37;6;16;30;12;26;;0;0;42;0;;41;49;20;24;25;29;;3;01/11/2018;germany;;;96660;49
27;30;16;51;39;14;28;;0;0;38;0;;0;28;20;26;27;31;;6;01/12/2018;germany;;;97218;51
23;24;10;23;46;28;24;;0;48;83;0;;39;23;19;23;36;37;;5;01/01/2019;germany;;;69944;83
33;25;66;24;44;23;26;;34;48;52;0;;41;24;20;24;37;39;;6;01/02/2019;germany;;;110542;52
25;25;41;48;55;23;52;;33;50;60;0;;77;24;30;48;50;38;;7;01/03/2019;germany;;;213742;77
40;27;32;69;55;25;51;;0;0;70;0;;43;47;37;72;53;38;;8;01/04/2019;germany;;;447365;72
25;48;31;80;49;41;26;;33;48;59;0;;41;48;36;24;42;20;;12;01/05/2019;germany;;;536168;80
50;50;36;40;78;35;66;;100;50;86;76;;62;60;30;49;61;38;;19;01/06/2019;germany;;;652897;100
27;51;37;57;52;34;71;;65;54;71;79;;44;100;35;42;39;29;;18;01/07/2019;germany;;;627704;100
26;50;39;42;49;29;40;;67;51;53;79;;41;59;46;74;26;41;;18;01/08/2019;germany;;;589499;74
37;48;29;38;52;34;52;;32;99;54;0;;39;47;30;24;25;38;;11;01/09/2019;germany;;;645333;54
24;36;28;40;46;11;25;;31;46;75;0;;39;68;39;23;24;56;;7;01/10/2019;germany;;;463744;75
33;23;10;29;35;21;24;;30;45;52;0;;0;21;14;0;23;27;;3;01/11/2019;germany;;;108999;52
0;27;26;17;38;100;26;;33;50;32;0;;0;25;22;36;46;27;;6;01/12/2019;germany;;;69386;38
22;22;21;28;42;21;23;;0;87;61;64;;0;31;18;21;43;25;;5;01/01/2020;germany;;;54431;61
21;0;20;28;46;15;23;;29;43;45;64;;0;31;43;21;22;34;;4;01/02/2020;germany;;;112582;46
0;20;86;14;37;20;21;;27;40;15;0;;0;20;24;19;42;26;;2;01/03/2020;germany;;;68438;37
21;20;17;0;15;10;22;;0;0;18;0;;34;41;17;21;22;32;;3;01/04/2020;germany;;;0;41
0;0;49;13;20;10;22;;26;0;16;0;;0;20;17;39;21;32;;3;01/05/2020;germany;;;0;39
